Class,Database
FX reserves,Reserve assets
Debt,Other investment
Debt,Debt securities
Derivatives,"Financial derivatives other than reserves, gross positive fair value"
NFA,U.S. net international investment position (line 4 less line 36)
FDI,Direct investment at market value
Equity,Equity and investment fund shares
U.S. Assets,U.S. assets
U.S. Liabilities,U.S. liabilities
